call_id, lat, lng, call_time, total_time, vehicle_num,amb_segment_id
20100012390021,17.3828191,78.4672831,11/20/10 16:17:45,39,AP28W9202,805
20100012390606,17.5127407,78.4475328,11/20/10 16:36:23,16,AP28W9300,779
20100012391687,17.385044,78.486671,11/20/10 17:07:02,31,AP29TA3105,799
20100012392073,17.51722222,78.38361111,11/20/10 17:18:09,42,AP29TA3771,1112
20100012392465,17.385044,78.486671,11/20/10 17:30:26,22,AP29U4685,253
20100012392988,17.4560535,78.5178096,11/20/10 17:46:48,72,AP29U6434,254
20100012393069,17.4343839,78.4173081,11/20/10 17:48:59,31,AP28W4790,5515
20100012393841,17.385044,78.486671,11/20/10 18:10:17,20,AP28W4644,797
20100012397144,17.51472222,78.44777778,11/20/10 19:31:28,49,AP28W9300,779
20100012397564,16.96194444,77.80888889,11/20/10 19:41:31,38,AP28TA3122,775
20100012398210,17.3957323,78.4412297,11/20/10 19:55:58,15,AP29TA3487,803
20100012399352,17.385044,78.486671,11/20/10 20:23:53,71,AP29TA3106,658
20100012399801,17.27555556,77.6025,11/20/10 20:37:06,102,AP29U6183,882
20100012399802,17.35222222,78.57333333,11/20/10 20:37:08,43,AP28TA2981,847
20100012400419,17.62833333,78.48305556,11/20/10 20:54:44,120,AP29TA3771,1112
20100012400567,17.35222222,78.57333333,11/20/10 20:58:28,31,AP28W4643,5482
20100012400735,17.3984144,78.4869592,11/20/10 21:04:19,36,AP29TA4985,792
20100012400762,17.42222222,78.55833333,11/20/10 21:05:16,44,AP29TA4705,5495
20100012401212,17.4736418,78.54479,11/20/10 21:19:33,42,AP28W9034,783
20100012401809,17.32333333,78.52805556,11/20/10 21:40:44,33,AP29TA3300,1345
20100012402491,17.37277778,78.2625,11/20/10 22:04:32,28,AP28W8394,5499
20100012402675,17.3984144,78.4869592,11/20/10 22:12:38,47,AP28TA2980,788
20100012403775,17.47305556,78.42305556,11/20/10 23:32:43,27,AP28W8394,5499
20100012404068,16.96194444,77.80888889,11/21/10 0:04:24,56,AP28W9300,779
20100012404124,17.19638889,78.65194444,11/21/10 0:10:39,99,AP29TA3649,1228
20100012404436,17.42944444,78.58694444,11/21/10 0:51:27,32,AP29TA3105,799
20100012404702,17.03527778,78.45333333,11/21/10 1:47:19,82,AP29TA3649,1228
20100012404758,17.26722222,77.81972222,11/21/10 2:03:21,66,AP29TA3106,658
20100012406662,17.385044,78.486671,11/21/10 6:52:55,47,AP29TA3301,790
20100012407303,17.385044,78.486671,11/21/10 7:20:51,26,AP29TA3691,795
20100012408668,17.385044,78.486671,11/21/10 8:09:45,29,AP29TA3301,790
20100012410092,17.4042154,78.4522006,11/21/10 8:53:05,21,AP29U4235,685
20100012411737,17.4463951,78.5022699,11/21/10 9:48:24,41,AP28W9036,1247
20100012413080,17.45166667,78.13305556,11/21/10 10:23:56,54,AP29U6893,1133
20100012417721,16.98888889,78.75972222,11/21/10 12:18:51,52,AP29U6432,5496
20100012418733,17.39277778,78.69138889,11/21/10 12:42:08,48,AP29U6222,5477
20100012419086,17.4416365,78.4453532,11/21/10 12:49:57,25,AP28TA2991,1023
20100012419807,17.3891379,77.8367282,11/21/10 13:05:58,34,AP29TA3771,1112
20100012419808,17.62833333,78.48305556,11/21/10 13:05:59,30,AP28TA3122,775
